location_id,city,area,state
1,Nashik,Adgaon,Maharashtra
2,Nashik,Ambad,Maharashtra
3,Nashik,Anandwalli,Maharashtra
4,Nashik,Ashok Stambh,Maharashtra
5,Nashik,Canada Corner,Maharashtra
6,Nashik,Cidco,Maharashtra
7,Nashik,College Road,Maharashtra
8,Nashik,Deolali,Maharashtra
9,Nashik,Dwarka Nashik,Maharashtra
10,Nashik,Gangapur Road,Maharashtra
11,Nashik,Govind Nagar,Maharashtra
12,Nashik,Hire Nagar,Maharashtra
13,Nashik,Indira Nagar Nashik,Maharashtra
14,Nashik,Jail Road,Maharashtra
15,Nashik,Makhmalabad,Maharashtra
16,Nashik,Mumbai Naka,Maharashtra
17,Nashik,Nashik City,Maharashtra
18,Nashik,Nashik Pune Road,Maharashtra
19,Nashik,Nashik Road,Maharashtra
20,Nashik,Ozar,Maharashtra
21,Nashik,Panchak,Maharashtra
22,Nashik,Panchavati,Maharashtra
23,Nashik,Pathardi Phata,Maharashtra
24,Nashik,Rane Nagar,Maharashtra
25,Nashik,Satpur,Maharashtra
26,Nashik,Sharanpur Road,Maharashtra
27,Nashik,Trimbak Road,Maharashtra
28,Nashik,Trimbakeshwar,Maharashtra
29,Nashik,Untwadi,Maharashtra
30,Nashik,Wadala Road,Maharashtra
31,Pune,Alandi,Maharashtra
32,Pune,Ambegaon,Maharashtra
33,Pune,Aundh,Maharashtra
34,Pune,Balewadi,Maharashtra
35,Pune,Baner,Maharashtra
36,Pune,Bavdhan,Maharashtra
37,Pune,Bibwewadi,Maharashtra
38,Pune,Bopodi,Maharashtra
39,Pune,Camp,Maharashtra
40,Pune,Chandan Nagar Pune,Maharashtra
41,Pune,Chikhli,Maharashtra
42,Pune,Chinchwad,Maharashtra
43,Pune,Dapodi,Maharashtra
44,Pune,Deccan Gymkhana,Maharashtra
45,Pune,Dhankawadi,Maharashtra
46,Pune,Erandwane,Maharashtra
47,Pune,Fatima Nagar,Maharashtra
48,Pune,Fursungi,Maharashtra
49,Pune,Hadapsar,Maharashtra
50,Pune,Hadapsar Industrial Estate,Maharashtra
51,Pune,Handewadi,Maharashtra
52,Pune,Hinjewadi,Maharashtra
53,Pune,Kalyani Nagar,Maharashtra
54,Pune,Katraj,Maharashtra
55,Pune,Khadki,Maharashtra
56,Pune,Kharadi,Maharashtra
57,Pune,Kondhwa,Maharashtra
58,Pune,Kondhwa Budruk,Maharashtra
59,Pune,Koregaon Park,Maharashtra
60,Pune,Kothrud,Maharashtra
61,Pune,Lohegaon,Maharashtra
62,Pune,Lonavala,Maharashtra
63,Pune,Loni Kalbhor,Maharashtra
64,Pune,Magarpatta,Maharashtra
65,Pune,Manjri,Maharashtra
66,Pune,Model Colony,Maharashtra
67,Pune,Moshi,Maharashtra
68,Pune,Mundhwa,Maharashtra
69,Pune,NIBM Road,Maharashtra
70,Pune,Narayan Peth,Maharashtra
71,Pune,Parvati,Maharashtra
72,Pune,Pashan,Maharashtra
73,Pune,Pimple Saudagar,Maharashtra
74,Pune,Pimpri,Maharashtra
75,Pune,Punawale,Maharashtra
76,Pune,Ravet,Maharashtra
77,Pune,Sadashiv Peth,Maharashtra
78,Pune,Salunkhe Vihar,Maharashtra
79,Pune,Shivaji Nagar,Maharashtra
80,Pune,Sinhagad Road,Maharashtra
81,Pune,Sus Road,Maharashtra
82,Pune,Talegaon,Maharashtra
83,Pune,Tathawade,Maharashtra
84,Pune,Undri,Maharashtra
85,Pune,Uruli Kanchan,Maharashtra
86,Pune,Vadgaon Sheri,Maharashtra
87,Pune,Viman Nagar,Maharashtra
88,Pune,Vishrantwadi,Maharashtra
89,Pune,Wadgaon Budruk,Maharashtra
90,Pune,Wagholi,Maharashtra
91,Pune,Wakad,Maharashtra
92,Pune,Wanowrie,Maharashtra
93,Pune,Wanwadi,Maharashtra
94,Pune,Warje,Maharashtra
95,Pune,Yerawada,Maharashtra
